"","state","n_tested","n_positive","diva_percent","year"
"135","Karnataka",5973,1839,30.8,2017
"136","Tamil Nadu",6000,1664,27.7,2017
"137","Kerala",2520,442,17.5,2017
"138","Madhya Pradesh",9484,1924,20.3,2017
"139","Rajasthan",2340,836,35.73,2017
"140","Gujarat",2800,584,20.86,2017
"141","Maharashtra",4467,1156,25.88,2017
"142","West Bengal",2492,839,33.7,2017
"143","Odisha",1721,578,33.6,2017
"144","Haryana",217,125,57.6,2017
"145","Uttarakhand",599,84,14,2017
"146","Uttar Pradesh",9040,1427,15.8,2017
"147","Himachal Pradesh",1598,131,8.2,2017
"148","Punjab",2021,200,9.9,2017
"149","Assam",870,323,37.1,2017
"150","Manipur",1800,227,12.6,2017
"151","Mizoram",760,108,14.2,2017
"152","Tripura",900,28,3.1,2017
"153","Andaman and Nicobar",939,8,0.9,2017
"154","Telangana",900,14,1.6,2018
"155","Tamil Nadu",6400,1622,25.3,2018
"156","Madhya Pradesh",10142,1822,18,2018
"157","Rajasthan",3510,1003,28.6,2018
"158","Maharashtra",2807,167,5.9,2018
"159","West Bengal",525,162,31,2018
"160","Jharkhand",555,312,56.2,2018
"161","Odisha",2700,1677,62.1,2018
"162","Haryana",130,42,32.3,2018
"163","Uttarakhand",1078,75,7,2018
"164","Uttar Pradesh",2510,249,10,2018
"165","Himachal Pradesh",2210,589,26.7,2018
"166","Jammu and Kashmir",1710,315,18.4,2018
"167","Punjab",2044,195,9.5,2018
"168","Assam",1726,328,19,2018
"169","Manipur",1800,234,13,2018
"170","Mizoram",800,79,9.9,2018
"171","Andaman and Nicobar",463,6,1.3,2018
"172","Telangana",1800,61,3.4,2019
"173","Tamil Nadu",6400,1420,22.2,2019
"174","Madhya Pradesh",6340,924,14.6,2019
"175","Maharashtra",2988,801,26.8,2019
"176","Gujarat",5150,1935,38,2019
"177","West Bengal",1413,447,31.6,2019
"178","Odisha",601,165,27.5,2019
"179","Haryana",2450,179,7.3,2019
"180","Himachal Pradesh",720,96,13,2019
"181","Jammu and Kashmir",1620,262,16.2,2019
"182","Assam",503,47,9.34,2019
"183","Andaman and Nicobar",428,2,0.46,2019
"184","Telangana",334,2,0.59,2020
"185","Andaman and Nicobar",200,7,3.5,2020
"186","Madhya Pradesh",3120,422,13.5,2020
"187","Gujarat",1977,253,12.8,2020
"188","Maharashtra",9417,2008,21.32,2020
"189","Odisha",2144,636,29.66,2020
"190","West Bengal",540,195,36.11,2020
"191","Haryana",3930,173,4.4,2020
"192","Punjab",4282,447,10.43,2020
"193","Jammu and Kashmir",1080,174,16.11,2020
"194","Mizoram",1260,266,21.11,2020
"195","Arunachal Pradesh",136,15,11.02941176,2021
"196","Assam",8151,1730,21.22438965,2021
"197","Chhattisgarh",3668,550,14.99454744,2021
"198","Gujarat",5260,525,9.980988593,2021
"199","Haryana",9040,619,6.847345133,2021
"200","Himachal Pradesh",3420,658,19.23976608,2021
"201","Jammu and Kashmir",2423,639,26.37226579,2021
"202","Jharkhand",825,137,16.60606061,2021
"203","Karnataka",2099,435,20.72415436,2021
"204","Kerala",8295,1749,21.08499096,2021
"205","Madhya Pradesh",4864,889,18.27713816,2021
"206","Maharashtra",10539,1666,15.80795142,2021
"207","Manipur",3248,1317,40.54802956,2021
"208","Meghalaya",378,104,27.51322751,2021
"209","Mizoram",360,44,12.22222222,2021
"210","Odisha",6076,1280,21.06649111,2021
"211","Punjab",3919,594,15.15692779,2021
"212","Tamil Nadu",522,90,17.24137931,2021
"213","Telangana",9036,451,4.991146525,2021
"214","Uttar Pradesh",9379,1093,11.65369442,2021
"215","Uttarakhand",4049,811,20.02963695,2021
"216","West Bengal",810,332,40.98765432,2021
"217","Andaman and Nicobar",2066,64,3.1,2022
"218","Andhra Pradesh",9829,2231,22.7,2022
"219","Arunachal Pradesh",270,114,42.2,2022
"220","Assam",1792,278,15.5,2022
"221","Bihar",2185,603,27.6,2022
"222","Chhattisgarh",1247,345,27.7,2022
"223","Gujarat",6653,931,14,2022
"224","Haryana",7044,359,5.1,2022
"225","Himachal Pradesh",2424,267,11,2022
"226","Jammu and Kashmir",1719,445,25.9,2022
"227","Jharkhand",1287,456,35.4,2022
"228","Karnataka",1663,599,36,2022
"229","Kerala",1874,334,17.8,2022
"230","Madhya Pradesh",2828,450,15.9,2022
"231","Maharashtra",2927,653,22.3,2022
"232","Manipur",1214,276,22.7,2022
"233","Meghalaya",630,72,11.5,2022
"234","Mizoram",1123,212,18.9,2022
"235","Nagaland",871,133,15.3,2022
"236","Odisha",2340,681,29.1,2022
"237","Puducherry",544,173,31.8,2022
"238","Punjab",3819,733,19.2,2022
"239","Rajasthan",180,16,8.9,2022
"240","Telangana",7640,565,7.4,2022
"241","Uttar Pradesh",3328,260,7.8,2022
"242","Uttarakhand",2119,295,13.9,2022
"243","West Bengal",84,24,28.6,2022
