Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
20,Madhya Pradesh,1,2017,11.0,27.5,8.5,20.3,7.6,22.0
20,Madhya Pradesh,2,2017,15.2,31.7,10.2,23.2,11.8,30.1
20,Madhya Pradesh,3,2018,14.5,30.3,9.6,22.5,11.6,28.0
20,Madhya Pradesh,4,2018,21.5,14.9,15.6,37.5,28.3,33.5
