states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Jammu & Kashmir,16.4,46.4,14.6,29.3,12.9,18.7,26,1,2018
Jammu & Kashmir,20.0,,15.8,,10.7,,26,2,2019
