Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
26,Jammu & Kashmir,1,2018,16.4,46.4,14.6,29.3,12.9,18.7
26,Jammu & Kashmir,2,2019,20.0,,15.8,,10.7,
