states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Odisha,23.8,58.8,14.7,44.9,17.1,50.8,28,1,2017
Odisha,26.4,47.9,16.5,35.4,22.4,44.7,28,2,2018
Odisha,34.1,51.3,17.8,33.8,27.7,40.0,28,3,2018
Odisha,25.3,48.0,13.0,39.0,17.1,35.7,28,4,2019
Odisha,21.6,40.2,12.9,28.0,16.1,21.1,28,5,2019
