states_ut,region_code,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round_name,sample_year,report_year,test_type,test_threshold,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post
Mizoram,,29.4,62.5,23.5,54.0,34.5,60.5,29,1,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Mizoram,,45.1,70.1,39.6,67.2,38.3,63.6,29,2,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andaman,,19.8,39.3,9.8,34.9,24.4,45.3,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,328,516,65,203,32,180,80,234
Andhra Pradesh,,9.0,29.2,5.6,23.8,9.2,27.2,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2119,2116,191,618,119,504,195,576
Arunachal Pradesh,,2.7,,14.0,,1.1,,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,186,,5,,26,,2,
Assam,,9.3,16.0,2.0,6.9,1.3,6.2,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1989,1401,185,224,40,97,26,87
Chhattisgarh,,17.0,35.6,10.9,22.9,11.5,22.7,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2152,2011,366,716,235,461,247,456
Delhi,,39.5,81.2,47.5,74.9,40.5,77.5,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,200,191,79,155,95,143,81,148
Goa,,34.1,49.1,27.6,43.3,34.4,42.7,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,735,735,251,361,203,318,253,314
Gujarat,,18.8,44.2,16.4,42.4,20.1,46.5,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2223,2223,418,983,365,943,447,1034
Haryana,,24.2,59.2,24.0,60.8,28.4,63.8,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2267,2271,549,1344,544,1381,644,1449
Himachal Pradesh,,2.9,9.0,3.5,7.3,1.2,4.0,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1504,2301,44,207,53,168,18,92
Jammu & Kashmir,,17.4,35.3,9.2,23.1,10.3,19.3,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1525,1276,265,450,140,295,157,246
Jharkhand,,9.0,29.1,3.4,13.2,4.7,16.7,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1506,492,136,143,51,65,71,82
