states_ut,region_code,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_pct_pre,serotype_o_count_post,serotype_o_pct_post,serotype_a_count_pre,serotype_a_pct_pre,serotype_a_count_post,serotype_a_pct_post,serotype_asia1_count_pre,serotype_asia1_pct_pre,serotype_asia1_count_post,serotype_asia1_pct_post,sample_year,report_year,round_name,test_type,test_threshold
Punjab,PB,2198,886,253,11.5,201,22.7,415,18.9,148,16.7,398,18.1,209,23.6,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Rajasthan,RJ,1188,1188,533,44.9,678,57.1,530,44.6,642,54.0,459,38.6,628,52.9,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Sikkim,SK,999,743,27,2.7,165,22.2,39,3.9,111,14.9,28,2.8,123,16.6,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Tamil Nadu,TN,2246,2246,831,37.0,1579,70.3,618,27.5,1366,60.8,624,27.8,1388,61.8,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Telangana,TS,2210,2210,457,20.7,1158,52.4,320,14.5,1085,49.1,453,20.5,1216,55.0,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Uttar Pradesh,UP,7468,5975,739,9.9,1715,28.7,560,7.5,1087,18.2,642,8.6,1320,22.1,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Uttarakhand,UK,1320,1291,55,4.2,314,24.3,50,3.8,226,17.5,40,3.0,298,23.1,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Total,,53922,49340,9490,17.6,19243,39.0,7765,14.4,15591,31.6,8520,15.8,16776,34.0,2020/2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Himachal Pradesh,HP,879,1273,25,2.8,120,9.4,30,3.4,93,7.3,9,1.0,48,3.8,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Jammu & Kashmir,JK,0,139,0,NaN,34,24.5,0,NaN,27,19.4,0,NaN,26,18.7,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Kerala,KL,1485,1349,800,53.9,959,71.1,674,45.4,788,58.4,761,51.2,898,66.6,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Meghalaya,ML,586,586,82,14.0,244,41.6,41,7.0,202,34.5,99,16.9,190,32.4,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Nagaland,NL,726,419,96,13.2,25,6.0,45,6.2,54,12.9,31,4.3,40,9.5,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Pondichery,PY,960,960,807,84.1,857,89.3,755,78.6,771,80.3,814,84.8,856,89.2,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Punjab,PB,53,886,9,17.0,201,22.7,7,13.2,148,16.7,8,15.1,209,23.6,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Rajasthan,RJ,1188,1188,533,44.9,678,57.1,530,44.6,642,54.0,459,38.6,628,52.9,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Sikkim,SK,78,353,6,7.7,62,17.6,4,5.1,46,13.0,6,7.7,39,11.0,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Total,,5955,7153,2358,39.6,3180,44.5,2086,35.0,2771,38.7,2187,36.7,2934,41.0,2021,2021,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
A&N Island,AN,328,516,65,19.8,203,39.3,32,9.8,180,34.9,80,24.4,234,45.3,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Andhra Pradesh,AP,2119,2116,191,9.0,618,29.2,119,5.6,504,23.8,196,9.2,576,27.2,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Arunachal Pradesh,AR,186,,5,2.7,,,26,14.0,,,2,1.1,,,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Assam,AS,1989,1401,184,9.3,224,16.0,39,2.0,96,6.9,26,1.3,87,6.2,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Chhattisgarh,CG,2152,2011,366,17.0,716,35.6,234,10.9,461,22.9,248,11.5,457,22.7,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Delhi,,200,191,79,39.5,155,81.2,95,47.5,143,74.9,81,40.5,148,77.5,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Goa,GA,735,735,251,34.1,361,49.1,203,27.6,318,43.3,253,34.4,314,42.7,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Gujarat,GJ,2223,2223,418,18.8,982,44.2,364,16.4,942,42.4,447,20.1,1033,46.5,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Haryana,HR,2267,2271,549,24.2,1345,59.2,545,24.0,1380,60.8,643,28.4,1448,63.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Himachal Pradesh,HP,625,1028,19,3.0,87,8.5,23,3.7,75,7.3,9,1.4,44,4.3,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Jammu & Kashmir,JK,1525,1137,265,17.4,416,36.6,141,9.2,268,23.6,157,10.3,220,19.3,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Jharkhand,JH,1506,492,135,9.0,143,29.1,51,3.4,65,13.2,71,4.7,82,16.7,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Karnataka,KA,2300,2303,376,16.3,1042,45.2,284,12.3,766,33.3,304,13.2,865,37.6,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Kerala,KL,660,796,217,32.9,562,70.6,173,26.2,501,62.9,219,33.2,552,69.3,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Madhya Pradesh,MP,4589,4589,458,10.0,1304,28.4,397,8.7,983,21.4,428,9.3,1108,24.1,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Maharashtra,MH,4346,4359,761,17.5,1581,36.3,627,14.4,1285,29.5,705,16.2,1410,32.3,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Manipur,MN,807,807,78,9.7,370,45.8,57,7.1,329,40.8,58,7.2,297,36.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Mizoram,MZ,838,838,88,10.5,255,30.4,75,8.9,222,26.5,91,10.9,241,28.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Odisha,OD,2262,2262,287,12.7,814,36.0,198,8.8,464,20.5,166,7.3,402,17.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Punjab,PB,2145,,244,11.4,,,408,19.0,,,390,18.2,,,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Sikkim,SK,921,390,21,2.3,103,26.4,35,3.8,65,16.7,22,2.4,84,21.5,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Tamil Nadu,TN,2246,2246,832,37.0,1578,70.3,618,27.5,1366,60.8,625,27.8,1388,61.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Telangana,TS,2210,2210,458,20.7,1157,52.4,321,14.5,1085,49.1,453,20.5,1215,55.0,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Uttar Pradesh,UP,7468,5975,738,9.9,1714,28.7,559,7.5,1086,18.2,642,8.6,1323,22.1,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Uttarakhand,UK,1320,1291,55,4.2,314,24.3,50,3.8,226,17.5,39,3.0,298,23.1,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
Total,,47967,42187,7140,14.9,16044,38.0,5674,11.8,12810,30.4,6355,13.2,13826,32.8,2020,2020,NADCP 1,SPCE,1.8 log10 @ 50% inhibition
A&N Island,AN,472,472,72,15.3,374,79.2,32,6.8,321,68.0,79,16.7,405,85.8,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Andhra Pradesh,AP,2722,2716,536,19.7,1127,41.5,531,19.5,1263,46.5,623,22.9,1336,49.2,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Arunachal Pradesh,AR,417,342,65,15.6,282,82.5,50,12.0,250,73.1,2,0.5,248,72.5,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Assam,AS,1848,1848,456,24.7,1055,57.1,368,19.9,1002,54.2,368,19.9,1016,55.0,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Bihar,BR,2246,2117,359,16.0,959,45.3,166,7.4,972,45.9,265,11.8,788,37.2,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Chandigarh,CH,200,200,71,35.5,151,75.5,64,32.0,136,68.0,80,40.0,158,79.0,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Chhattisgarh,CG,2209,,539,24.4,,,367,16.6,,,254,11.5,,,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Dadra and Nagar Haveli and Daman and Diu,DD,200,191,112,56.0,133,69.6,55,27.5,129,67.5,64,32.0,112,58.6,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Delhi,,234,230,171,73.1,204,88.7,152,65.0,198,86.1,152,65.0,206,89.6,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Goa,GA,1289,1289,624,48.4,1003,77.8,452,35.1,1029,79.8,557,43.2,1093,84.8,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Gujarat,GJ,2184,2184,332,15.2,887,40.6,264,12.1,592,27.1,306,14.0,760,34.8,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Haryana,HR,2289,2285,833,36.4,1572,68.8,794,34.7,1552,67.9,989,43.2,1666,72.9,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Himachal Pradesh,HP,619,1432,196,31.7,881,61.5,166,26.8,786,54.9,127,20.5,789,55.1,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Jammu & Kashmir,JK,1073,1048,199,18.5,705,67.3,139,13.0,610,58.2,111,10.3,602,57.4,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Jharkhand,JH,83,,28,33.7,,,13,15.7,,,30,36.1,,,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Karnataka,KA,2166,2173,1083,50.0,1858,85.5,979,45.2,1827,84.1,986,45.5,1808,83.2,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Kerala,KL,2182,2182,779,35.7,1586,72.7,735,33.7,1510,69.2,807,37.0,1582,72.5,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Madhya Pradesh,MP,1014,1014,356,35.1,639,63.0,385,38.0,675,66.6,211,20.8,526,51.9,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Maharashtra,MH,4420,4420,1388,31.4,3372,76.3,1481,33.5,3523,79.7,1379,31.2,3439,77.8,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Meghalaya,ML,198,154,69,34.8,140,90.9,120,60.6,142,92.2,16,8.1,102,66.2,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Nagaland,NL,1056,,468,44.3,,,297,28.1,,,334,31.6,,,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Odisha,OD,2262,2262,303,13.4,2034,89.9,283,12.5,1988,87.9,287,12.7,1968,87.0,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Pondichery,PY,883,883,806,91.3,847,95.9,734,83.1,793,89.8,755,85.5,787,89.1,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Punjab,PB,2196,2196,729,33.2,1452,66.1,648,29.5,1465,66.7,663,30.2,1495,68.1,2021/2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
