states_ut,region_code,diva_count_all,diva_count_positive,diva_pct,sample_year
Haryana,HR,217,125,57.6,2017
Uttarakhand,UK,599,84,14.0,2017
Uttar Pradesh,UP,9040,1427,15.8,2017
Himachal Pradesh,HP,1598,131,8.2,2017
Punjab,PB,2021,200,9.9,2017
Assam,AS,870,323,37.1,2017
Manipur,MN,1800,227,12.6,2017
Mizoram,MZ,760,108,14.2,2017
Tripura,TR,900,28,3.1,2017
A&N Island,AN,939,8,0.9,2017
Telangana,TS,900,14,1.6,2018
Tamil Nadu,TN,6400,1622,25.3,2018
Madhya Pradesh,MP,10142,1822,18.0,2018
Rajasthan,RJ,3510,1003,28.6,2018
Maharashtra,MH,2807,167,5.9,2018
West Bengal,WB,525,162,31.0,2018
Jharkhand,JH,555,312,56.2,2018
Odisha,OD,2700,1677,62.1,2018
Haryana,HR,130,42,32.3,2018
Uttarakhand,UK,1078,75,7.0,2018
Uttar Pradesh,UP,2510,249,10.0,2018
Himachal Pradesh,HP,2210,589,26.7,2018
Jammu & Kashmir,JK,1710,315,18.4,2018
Punjab,PB,2044,195,9.5,2018
Assam,AS,1726,328,19.0,2018
Manipur,MN,1800,234,13.0,2018
Mizoram,MZ,800,79,9.9,2018
A&N Island,AN,463,6,1.3,2018
Telangana,TS,1800,61,3.4,2019
Tamil Nadu,TN,6400,1420,22.2,2019
Madhya Pradesh,MP,6340,924,14.6,2019
Maharashtra,MH,2988,801,26.8,2019
Gujarat,GJ,5150,1935,38.0,2019
West Bengal,WB,1413,447,31.6,2019
Odisha,OD,601,165,27.5,2019
Haryana,HR,2450,179,7.3,2019
Himachal Pradesh,HP,720,96,13.0,2019
Jammu & Kashmir,JK,1620,262,16.2,2019
Assam,AS,503,47,9.34,2019
A&N Island,AN,428,2,0.46,2019
Telangana,TS,334,2,0.59,2020
A&N Island,AN,200,7,3.5,2020
Madhya Pradesh,MP,3120,422,13.5,2020
Gujarat,GJ,1977,253,12.8,2020
Maharashtra,MH,9417,2008,21.32,2020
Odisha,OD,2144,636,29.66,2020
West Bengal,WB,540,195,36.11,2020
Haryana,HR,3930,173,4.4,2020
Punjab,PB,4282,447,10.43,2020
Jammu & Kashmir,JK,1080,174,16.11,2020
Mizoram,MZ,1260,266,21.11,2020
Arunachal Pradesh,AR,136,15,11.03,2021
Assam,AS,8151,1730,21.22,2021
Chhattisgarh,CG,3668,550,14.99,2021
Gujarat,GJ,5260,525,9.98,2021
Haryana,HR,9040,619,6.85,2021
Himachal Pradesh,HP,3420,658,19.24,2021
Jammu & Kashmir,JK,2423,639,26.37,2021
Jharkhand,JH,825,137,16.61,2021
Karnataka,KA,2099,435,20.72,2021
Kerala,KL,8295,1749,21.08,2021
Madhya Pradesh,MP,4864,889,18.28,2021
Maharashtra,MH,10539,1666,15.81,2021
Manipur,MN,3248,1317,40.55,2021
Meghalaya,ML,378,104,27.51,2021
Mizoram,MZ,360,44,12.22,2021
Odisha,OD,6076,1280,21.07,2021
Punjab,PB,3919,594,15.16,2021
Tamil Nadu,TN,522,90,17.24,2021
Telangana,TS,9036,451,4.99,2021
Uttar Pradesh,UP,9379,1093,11.65,2021
Uttarakhand,UK,4049,811,20.03,2021
West Bengal,WB,810,332,40.99,2021
A&N Island,AN,2066,64,3.1,2022
Andhra Pradesh,AP,9829,2231,22.7,2022
Arunachal Pradesh,AR,270,114,42.2,2022
Assam,AS,1792,278,15.5,2022
Bihar,BR,2185,603,27.6,2022
Chhattisgarh,CG,1247,345,27.7,2022
Gujarat,GJ,6653,931,14.0,2022
Haryana,HR,7044,359,5.1,2022
Himachal Pradesh,HP,2424,267,11.0,2022
Jammu & Kashmir,JK,1719,445,25.9,2022
Jharkhand,JH,1287,456,35.4,2022
Karnataka,KA,1663,599,36.0,2022
Kerala,KL,1874,334,17.8,2022
Madhya Pradesh,MP,2828,450,15.9,2022
Maharashtra,MH,2927,653,22.3,2022
Manipur,MN,1214,276,22.7,2022
Meghalaya,ML,630,72,11.5,2022
Mizoram,MZ,1123,212,18.9,2022
Nagaland,NL,871,133,15.3,2022
Odisha,OD,2340,681,29.1,2022
Pondichery,PY,544,173,31.8,2022
Punjab,PB,3819,733,19.2,2022
Rajasthan,RJ,180,16,8.9,2022
Telangana,TS,7640,565,7.4,2022
Uttar Pradesh,UP,3328,260,7.8,2022
Uttarakhand,UK,2119,295,13.9,2022
West Bengal,WB,84,24,28.6,2022
