Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
27,West Bengal,1,2017,26.8,35.8,17.3,22.0,19.5,27.2
27,West Bengal,2,2017,19.2,40.5,13.1,25.4,11.2,23.1
27,West Bengal,3,2018,22.9,42.5,11.3,22.9,15.5,29.0
