States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
Andhra Pradesh,2119,2116,9.0,29.2,5.6,23.8,9.2,27.2
Tamilnadu,2246,2246,37.0,70.3,27.5,60.8,27.8,61.8
Karnataka,2300,2303,16.3,45.2,12.3,33.3,13.2,37.6
Kerala,2145,2145,47.4,70.9,39.5,60.1,45.7,67.6
Telangana,2210,2210,20.7,52.4,14.5,49.1,20.5,55.0
Maharashtra,4346,4359,17.5,36.3,14.4,29.5,16.2,32.3
Gujarat,2223,2223,18.8,44.2,16.4,42.4,20.1,46.5
Madhya Pradesh,4589,4589,10.0,28.4,8.7,21.4,9.3,24.1
Chhattisgarh,2152,2011,17.0,35.6,10.9,22.9,11.5,22.7
Odisha,2262,2262,12.7,36.0,8.8,20.5,7.3,17.8
Jharkhand,1506,492,9.0,29.1,3.4,13.2,4.7,16.7
Haryana,2267,2271,24.2,59.2,24.0,60.8,28.4,63.8
Punjab,2198,886,11.5,22.7,18.9,16.7,18.1,23.6
Uttar Pradesh,7468,5975,9.9,28.7,7.5,18.2,8.6,22.1
Himachal Pradesh,1504,2301,2.9,9.0,3.5,7.3,1.2,4.0
Jammu Kashmir,1525,1276,17.4,35.3,9.2,23.1,10.3,19.3
Uttarakhand,1320,1291,4.2,24.3,3.8,17.5,3.0,23.1
Mizoram,838,838,10.5,30.4,8.9,26.5,10.9,28.8
Assam,1989,1401,9.3,16.0,2.0,6.9,1.3,6.2
Manipur,807,807,9.7,45.8,7.1,40.8,7.2,36.8
Sikkim,999,743,2.7,22.2,3.9,14.9,2.8,16.6
Meghalaya,586,586,14.0,41.6,7.0,34.5,16.9,32.4
Arunachal Pradesh,186,,2.7,,14.0,,1.1,
Nagaland,726,419,13.2,6.0,6.2,12.9,4.3,9.5
Goa,735,735,34.1,49.1,27.6,43.3,34.4,42.7
Andaman,328,516,19.8,39.3,9.8,34.9,24.4,45.3
Delhi,200,191,39.5,81.2,47.5,74.9,40.5,77.5
Rajasthan,1188,1188,44.9,57.1,44.6,54.0,38.6,52.9
Pondichery,960,960,84.1,89.3,78.6,80.3,84.8,89.2
Total,53922,49340,17.6,39.0,14.4,31.6,15.8,34.0
