Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
21,Chhattisgarh,1,2018,29.2,43.9,17.3,31.4,27.9,39.3
21,Chhattisgarh,2,2018,34.3,46.9,17.8,34.2,34.8,50.5
21,Chhattisgarh,3,2019,24.4,47.6,16.5,30.7,20.8,46.8
21,Chhattisgarh,4,2019,28.2,50.9,20.3,42.3,23.9,44.3
