States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
Haryana,2145,2143,32.4,74.3,35.9,77.9,34.6,79.5
Karnataka,1612,,45.3,,42.3,,41.4,
Total,3757,2143,37.9,74.3,38.7,77.9,37.5,79.5
