states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Chhattisgarh,29.2,43.9,17.3,31.4,27.9,39.3,21,1,2018
Chhattisgarh,34.3,46.9,17.8,34.2,34.8,50.5,21,2,2018
Chhattisgarh,24.4,47.6,16.5,30.7,20.8,46.8,21,3,2019
Chhattisgarh,28.2,50.9,20.3,42.3,23.9,44.3,21,4,2019
