states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Madhya Pradesh,11.0,27.5,8.5,20.3,7.6,22.0,20,1,2017
Madhya Pradesh,15.2,31.7,10.2,23.2,11.8,30.1,20,2,2017
Madhya Pradesh,14.5,30.3,9.6,22.5,11.6,28.0,20,3,2018
Madhya Pradesh,21.5,14.9,15.6,37.5,28.3,33.5,20,4,2018
