states_ut,region_code,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Mizoram,MZ,29.4,62.5,23.5,54.0,34.5,60.5,29,1,2019
Mizoram,MZ,45.1,70.1,39.6,67.2,38.3,63.6,29,2,2019
