states_ut,region_code,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Bihar,BR,,11.0,,7.8,,4.8,27,4,2017
Bihar,BR,3.6,9.3,2.4,7.2,2.2,5.6,27,5,2018
Bihar,BR,0.0,4.6,0.0,3.8,0.0,2.7,27,7,2019
