states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Uttarakhand,16.0,18.6,9.2,9.8,12.0,13.4,24,1,2017
Uttarakhand,18.6,17.5,26.1,12.1,26.7,12.1,24,2,2017
Uttarakhand,14.9,18.7,8.7,10.1,11.8,12.4,24,3,2018
Uttarakhand,15.3,17.6,12.7,15.2,13.7,14.1,24,4,2018
Uttarakhand,13.2,22.1,7.9,15.5,10.9,16.5,24,5,2019
