states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Manipur,21.6,50.4,13.5,36.8,16.7,46.4,29,1,2018
Manipur,13.5,62.7,8.8,60.9,12.4,61.8,29,2,2019
